Starting training
  dataset_root: dataset/cleaned
  model_type:   denoised_cnn
  epochs:       10
  batch_size:   32
  lr:           1e-4
  out_dir:      models
  max_samples:  0
Activating virtual environment and dependencies...
Looking in links: /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo2023/x86-64-v4, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo2023/x86-64-v3, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/gentoo2023/generic, /cvmfs/soft.computecanada.ca/custom/python/wheelhouse/generic
Requirement already satisfied: facenet-pytorch in ./.venv/lib/python3.11/site-packages (2.6.0)
Using device: cuda
Training images:   160002
Validation images: 49428
Checkpoints & metrics → models/denoised_cnn/
Figures               → figures/denoised_cnn/
  [Epoch 2 | Batch 1400/5001] Avg Loss: 0.1113
  [Epoch 2 | Batch 1420/5001] Avg Loss: 0.1115
  [Epoch 2 | Batch 1440/5001] Avg Loss: 0.1114
  [Epoch 2 | Batch 1460/5001] Avg Loss: 0.1112
  [Epoch 2 | Batch 1480/5001] Avg Loss: 0.1109
  [Epoch 2 | Batch 1500/5001] Avg Loss: 0.1105
  [Epoch 2 | Batch 1520/5001] Avg Loss: 0.1105
  [Epoch 2 | Batch 1540/5001] Avg Loss: 0.1106
  [Epoch 2 | Batch 1560/5001] Avg Loss: 0.1106
  [Epoch 2 | Batch 1580/5001] Avg Loss: 0.1106
  [Epoch 2 | Batch 1600/5001] Avg Loss: 0.1107
  [Epoch 2 | Batch 1620/5001] Avg Loss: 0.1110
  [Epoch 2 | Batch 1640/5001] Avg Loss: 0.1110
  [Epoch 2 | Batch 1660/5001] Avg Loss: 0.1111
  [Epoch 2 | Batch 1680/5001] Avg Loss: 0.1110
  [Epoch 2 | Batch 1700/5001] Avg Loss: 0.1112
  [Epoch 2 | Batch 1720/5001] Avg Loss: 0.1114
  [Epoch 2 | Batch 1740/5001] Avg Loss: 0.1114
  [Epoch 2 | Batch 1760/5001] Avg Loss: 0.1113
  [Epoch 2 | Batch 1780/5001] Avg Loss: 0.1112
  [Epoch 2 | Batch 1800/5001] Avg Loss: 0.1110
  [Epoch 2 | Batch 1820/5001] Avg Loss: 0.1107
  [Epoch 2 | Batch 1840/5001] Avg Loss: 0.1105
